MonthYear,colony,Tubelabel_species,Health_Status,Extracted,Raw_ng_ul,Extraction_physical_location,Extraction_notes,Condition,Caroline_ITS2
102023,1_11,102023_PAN_BDT_T1_151_MCAV,CLP,4_17_2026,61.8,UML_PENGUIN_B2,,CLP ,x
102023,1_14,102023_PAN_BDT_T1_121_ORBI,Healthy,4_06_2026,27.8,UML_PENGUIN_B2,,Healthy,x
102023,1_16,102023_PAN_BDT_T1_111_CNAT,CLP,7_7_2025,28.2,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,"CLP, CLB",
102023,1_16,102023_PAN_BDT_T1_130_CNAT,CLB,7_16_2025,31.6,UML_PENGUIN_B1,,"CLP, CLB",
102023,1_17,102023_PAN_BDT_T1_116_MCAV,CLP,4_17_2026,25,UML_PENGUIN_B2,,CLP,x
102023,1_18,102023_PAN_BDT_T1_109_SSID,CLP,6_09_2026,12.6,UML_PENGUIN_B3,,CLP,x
102023,1_23,102023_PAN_BDT_T1_94_CNAT,CLB,7_16_2025,14.1,UML_PENGUIN_B1,,CLB,x
102023,1_24,102023_PAN_BDT_T1_98_CNAT,CLP,7_7_2025,28,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,CLP,
102023,1_25,102023_PAN_BDT_T1_92_ORBI,Healthy,4_06_2026,4.22,UML_PENGUIN_B2,,Healthy,x
102023,1_26,102023_PAN_BDT_T1_90_CNAT,CLP,7_7_2025,29,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,CLP,x
102023,1_5,102023_PAN_BDT_T1_119_CNAT,CLP,7_7_2025,45.8,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,CLP,
102023,1_6,102023_PAN_BDT_T1_123_CNAT,CLB,7_16_2025,30.2,UML_PENGUIN_B1,,CLB,
102023,1_7,102023_PAN_BDT_T1_132_SSID,CLP,6_09_2026,63.4,UML_PENGUIN_B3,,CLP,x
102023,2_32,102023_PAN_BDT_T2_179_MCAV,CLP,6_11_2026,66.8,UML_PENGUIN_B3,,CLP,x
102023,2_34,102023_PAN_BDT_T2_198_CNAT,CLB,7_16_2025,13.7,UML_PENGUIN_B1,,CLB,x
102023,2_39,102023_PAN_BDT_T2_183_CNAT,CLB,7_16_2025,40.2,UML_PENGUIN_B1,,CLB,x
102023,2_50,102023_PAN_BDT_T2_223_CNAT,CLB,7_16_2025,32.6,UML_PENGUIN_B1,,CLB,x
102023,2_51,102023_PAN_BDT_T2_241_ORBI,Healthy,4_06_2026,6.34,UML_PENGUIN_B2,,CLP,x
102023,2_55,102023_PAN_BDT_T2_219_SSID,CLB,6_09_2026,61.6,UML_PENGUIN_B3,,CLB,x
102023,2_57,102023_PAN_BDT_T2_228_CNAT,CLP,5_23_2025,26.2,UML_PENGUIN_B1,,CLP,
102023,2_59,102023_PAN_BDT_T2_188_SSID,CLB,6_09_2026,30.6,UML_PENGUIN_B3,,CLB,x
102023,3_29,102023_PAN_BDT_T3_320_ORBI,Healthy,4_06_2026,114,UML_PENGUIN_B2,,Healthy,x
102023,3_60,102023_PAN_BDT_T3_284_CNAT,CLP,7_7_2025,24,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,CLP,
102023,3_61,102023_PAN_BDT_T3_286_CNAT,CLP,7_7_2025,43.6,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,Healthy,
102023,3_68,102023_PAN_BDT_T3_338_CNAT,CLP,7_7_2025,62.4,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,"CLB, CLP",x
102023,3_71,102023_PAN_BDT_T3_310_CNAT,Healthy,6_25_2025,35.8,UML_PENGUIN_B1,,Healthy,
102023,3_72,102023_PAN_BDT_T3_343_PSTR,CLP,5_18_2026,23.2,UML_PENGUIN_B2,,CLP,x
102023,3_73,102023_PAN_BDT_T3_304_PSTR,CLB,5_21_2026,18.5,UML_PENGUIN_B2,,"CLB, CLP",x
102023,3_75,102023_PAN_BDT_T3_335_CNAT,CLP,7_7_2025,71.8,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,"CLB,CLP ",x
102023,3_76,102023_PAN_BDT_T3_325_CNAT,CLP,7_7_2025,39.4,UML_PENGUIN_B1,extraction negative had 6.64 ng/ul,CLP ,
102023,3_77,102023_PAN_BDT_T3_327_PSTR,CLP,5_21_2026,22,UML_PENGUIN_B2,,CLP,
102023,3_80,102023_PAN_BDT_T3_308_CNAT,Healthy,6_25_2025,28,UML_PENGUIN_B1,,Healthy,
102023,3_81,102023_PAN_BDT_T3_288_SSID,CLB,6_09_2026,82,UML_PENGUIN_B3,,CLB,x
102023,3_82,102023_PAN_BDT_T3_290_MCAV,CLP,6_11_2026,33,UML_PENGUIN_B3,,CLP,x
102023,3_87,102023_PAN_BDT_T3_332_PSTR,CLP,5_21_2026,67.2,UML_PENGUIN_B2,,CLP,x
102023,3_91,102023_PAN_BDT_T3_299_MCAV,CLP,6_11_2026,52.2,UML_PENGUIN_B3,,"CLB, CLP",x
102023,4_10,102023_PAN_BDT_T4_363_ORBI,Healthy,4_06_2026,100,UML_PENGUIN_B2,,Healthy,x
102023,4_12,102023_PAN_BDT_T4_369_CNAT,Healthy,6_25_2025,9.04,UML_PENGUIN_B1,,Healthy,
102023,4_19,102023_PAN_BDT_T4_391_CNAT,Healthy,6_25_2025,22.4,UML_PENGUIN_B1,,Healthy,
102023,4_2,102023_PAN_BDT_T4_349_CNAT,Healthy,6_25_2025,28.4,UML_PENGUIN_B1,,Healthy,
102023,4_27,102023_PAN_BDT_T4_407_CNAT,Healthy,6_25_2025,17,UML_PENGUIN_B1,,Healthy,
102023,4_3,102023_PAN_BDT_T4_351_CNAT,Healthy,6_25_2025,19.6,UML_PENGUIN_B1,,Healthy,
102023,4_37,102023_PAN_BDT_T4_424_PSTR,Healthy,6_11_2026,59.6,UML_PENGUIN_B3,,Healthy,x?
102023,4_48,102023_PAN_BDT_T4_440_PSTR,Healthy,5_18_2026,89.6,UML_PENGUIN_B2,,CLP,x
102023,4_8,102023_PAN_BDT_T4_359_CNAT,Healthy,6_25_2025,60.4,UML_PENGUIN_B1,,Healthy,
